decile,mean_prob,actual_rate,n,model
0,0.08869628324586736,0.4413259133801113,24798,logistic_l1
1,0.13699132635910877,0.4387853859182192,24798,logistic_l1
2,0.1891501371522501,0.43420575069564865,24797,logistic_l1
3,0.24794991765568808,0.4267279619324139,24798,logistic_l1
4,0.3149646365728859,0.4109202355028631,24798,logistic_l1
5,0.3939660739426026,0.4135984191636085,24797,logistic_l1
6,0.4918537514735249,0.44015646423098637,24798,logistic_l1
7,0.6078244433649768,0.4842117998144937,24797,logistic_l1
8,0.7347507936010528,0.5287523187353819,24798,logistic_l1
9,0.8712976414343353,0.6014194693120413,24798,logistic_l1
0,0.004956752706855206,0.37285264940721025,24798,xgboost
1,0.028519189812219504,0.3808371642874425,24798,xgboost
2,0.08343493947189515,0.387950155260717,24797,xgboost
3,0.1836143751164575,0.39781433986611825,24798,xgboost
4,0.3830550432082616,0.4787079603193806,24798,xgboost
5,0.6993736318918506,0.43956930273823447,24797,xgboost
6,0.8974710364756695,0.42951044439067665,24798,xgboost
7,0.9666978155561391,0.5081259829818123,24797,xgboost
8,0.9920000563932914,0.5567787724816518,24798,xgboost
9,0.9987619397779445,0.6679570933139769,24798,xgboost
