feature,coefficient
cat__month_8,-0.8435222467285135
cat__month_11,-0.29727224326882196
cat__month_5,-0.07473756061685256
num__latitude,0.0
num__longitude,0.0
num__accommodates,0.0
num__bathrooms_std,0.0
num__bedrooms,0.0
num__beds,0.0
num__listing_minimum_nights,0.0
num__listing_hist_booking_rate,1.2192917453012195
num__sin_doy_2,0.5718531163599317
cat__month_7,0.33158540592362906
num__cos_doy,0.24130364777596675
num__cos_doy_2,0.2175142970399331
num__day_of_week,0.07947768565530032
cat__month_9,0.023307999165753716
num__amenities_count,0.006124432066661322
num__number_of_reviews,0.002708261221219653
num__latitude,0.0
